순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수(천주),외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,486,000","-103,000","-4.0","297,099","745,226,028,606","2,517,000","2,536,000","2,480,000","319,168,824,084,000","16.98","128,386,494",,,2313
2,000660,SK하이닉스,"83,100","-5,500","-6.2","7,310,739","618,805,886,356","85,100","86,400","82,800","60,496,996,531,500","3.22","728,002,365",,,
3,068270,셀트리온,"300,000","-10,500","-3.4","1,483,144","452,494,640,915","302,500","312,500","298,000","36,799,927,200,000","1.96","122,666,424",,,
4,005935,삼성전자우,"2,030,000","-77,000","-3.6","28,792","58,792,719,000","2,060,000","2,073,000","2,017,000","36,687,337,400,000","1.95","18,072,580",,,
5,005380,현대차,"151,500","-1,000","-0.7","578,521","87,814,195,542","151,000","153,000","150,500","33,371,886,568,500","1.78","220,276,479",,,
6,207940,삼성바이오로직스,"481,500","4,000","0.8","323,411","155,863,124,500","468,000","494,000","465,500","31,858,447,500,000","1.70","66,165,000",,,
7,005490,POSCO,"321,500","-19,000","-5.6","450,499","146,895,400,000","334,500","336,000","320,000","28,030,567,452,500","1.49","87,186,835",,,
8,051910,LG화학,"393,500","-15,500","-3.8","208,234","82,557,688,500","399,500","403,500","392,000","27,778,086,970,500","1.48","70,592,343",,,
9,035420,NAVER,"783,000","-20,000","-2.5","97,868","76,827,119,698","788,000","792,000","780,000","25,809,777,657,000","1.37","32,962,679",,,
10,105560,KB금융,"61,600","-2,300","-3.6","997,469","61,602,739,300","62,100","62,400","61,500","25,755,670,679,200","1.37","418,111,537",,,
11,028260,삼성물산,"129,000","-3,000","-2.3","404,984","52,290,560,500","129,500","130,500","128,000","24,470,015,547,000","1.30","189,690,043",,,
12,032830,삼성생명,"115,000","-2,500","-2.1","298,850","34,302,398,500","116,500","117,000","113,500","23,000,000,000,000","1.22","200,000,000",,,
13,012330,현대모비스,"233,000","-3,000","-1.3","284,903","66,449,453,468","232,000","235,500","231,500","22,681,120,079,000","1.21","97,343,863",,,
14,055550,신한지주,"44,750","-1,350","-2.9","1,219,573","54,656,509,550","45,000","45,300","44,600","21,220,431,518,250","1.13","474,199,587",,,
15,034730,SK,"295,500","-11,500","-3.8","111,113","32,917,210,500","300,000","301,000","292,500","20,791,467,763,500","1.11","70,360,297",,,
16,015760,한국전력,"31,350","-650","-2.0","1,302,713","40,965,829,550","31,700","31,800","31,200","20,125,573,813,950","1.07","641,964,077",,,
17,096770,SK이노베이션,"209,500","-4,000","-1.9","171,277","35,835,622,000","210,000","211,500","207,500","19,371,535,658,000","1.03","92,465,564",,,
18,018260,삼성에스디에스,"245,000","-9,000","-3.5","166,147","40,926,344,000","246,000","250,500","243,500","18,957,561,000,000","1.01","77,377,800",,,
19,017670,SK텔레콤,"228,500","-3,000","-1.3","189,547","43,414,656,500","230,000","230,500","227,500","18,450,394,963,500","0.98","80,745,711",,,
20,051900,LG생활건강,"1,120,000","-19,000","-1.7","36,031","40,350,854,740","1,127,000","1,135,000","1,105,000","17,492,380,640,000","0.93","15,618,197",,,
21,066570,LG전자,"106,500","-5,000","-4.5","696,815","75,272,718,000","108,500","110,000","106,000","17,428,492,191,000","0.93","163,647,814",,,
22,090430,아모레퍼시픽,"288,500","-8,500","-2.9","164,137","47,642,981,000","292,000","294,500","288,000","16,865,274,365,000","0.90","58,458,490",,,
23,003550,LG,"86,000","-3,000","-3.4","209,682","18,092,748,500","87,200","87,700","85,700","14,839,913,266,000","0.79","172,557,131",,,
24,011170,롯데케미칼,"430,000","-9,500","-2.2","80,087","34,613,700,500","428,000","437,500","427,500","14,738,430,170,000","0.78","34,275,419",,,
25,086790,하나금융지주,"47,400","-1,550","-3.2","943,656","44,687,506,300","47,550","47,900","47,000","14,231,473,738,800","0.76","300,242,062",,,
26,091990,셀트리온헬스케어,"102,300","-5,200","-4.8","1,161,910","121,737,588,300","103,500","107,500","102,000","14,068,758,396,000","0.75","137,524,520",,,
27,006400,삼성SDI,"199,500","-8,500","-4.1","453,539","90,847,224,000","202,000","203,000","199,000","13,718,523,735,000","0.73","68,764,530",,,
28,033780,KT&G,"98,700","-600","-0.6","358,378","35,359,376,600","98,800","99,300","98,100","13,550,769,453,900","0.72","137,292,497",,,
29,010950,S-Oil,"117,000","-2,500","-2.1","211,631","24,742,270,500","116,500","117,500","116,000","13,172,186,664,000","0.70","112,582,792",,,
30,000810,삼성화재,"277,000","-5,000","-1.8","55,719","15,386,767,500","279,000","280,000","274,000","13,122,829,849,000","0.70","47,374,837",,,
31,000270,기아차,"31,300","-600","-1.9","1,229,184","38,468,583,950","31,450","31,550","31,100","12,687,872,761,100","0.68","405,363,347",,,
32,251270,넷마블게임즈,"143,000","-5,000","-3.4","204,733","29,461,833,000","143,500","146,000","142,500","12,158,973,970,000","0.65","85,027,790",,,
33,002790,아모레G,"130,500","-2,500","-1.9","61,420","8,064,540,000","131,000","133,000","129,000","10,760,792,490,000","0.57","82,458,180",,,
34,000030,우리은행,"14,900","-650","-4.2","3,186,017","47,685,507,300","15,200","15,250","14,800","10,072,400,000,000","0.54","676,000,000",,,
35,035720,카카오,"130,500","-7,500","-5.4","1,233,587","163,404,697,322","135,000","136,000","129,500","9,953,237,871,000","0.53","76,270,022",,,
36,034220,LG디스플레이,"26,250","-900","-3.3","2,797,777","73,985,149,750","26,650","26,750","26,100","9,392,662,125,000","0.50","357,815,700",,,
37,010130,고려아연,"477,000","-11,500","-2.4","30,448","14,601,180,500","482,000","484,500","474,500","9,000,990,000,000","0.48","18,870,000",,,
38,036570,엔씨소프트,"409,000","-13,000","-3.1","85,341","35,026,034,000","409,500","414,500","407,500","8,973,059,998,000","0.48","21,939,022",,,
39,024110,기업은행,"16,000","-750","-4.5","1,118,913","18,030,475,900","16,300","16,500","15,900","8,959,661,040,000","0.48","559,978,815",,,
40,009540,현대중공업,"147,500","-1,500","-1.0","354,280","52,721,112,000","146,500","152,000","146,000","8,358,150,335,000","0.44","56,665,426",,,
41,139480,이마트,"278,000","-1,500","-0.5","84,040","23,190,785,000","275,500","278,500","271,500","7,749,477,682,000","0.41","27,875,819",,,
42,009150,삼성전기,"101,000","-2,500","-2.4","1,273,666","130,504,278,900","100,000","104,500","99,700","7,544,063,296,000","0.40","74,693,696",,,
43,030200,KT,"27,050","-300","-1.1","719,814","19,524,777,100","27,300","27,350","27,000","7,063,074,406,400","0.38","261,111,808",,,
44,215600,신라젠,"100,300","-13,000","-11.5","6,014,015","641,852,869,800","110,500","114,500","99,500","6,839,783,576,800","0.36","68,193,256",,,
45,267250,현대로보틱스,"417,000","-14,500","-3.4","45,896","19,254,234,000","422,500","427,500","415,500","6,791,519,289,000","0.36","16,286,617",,,
46,004020,현대제철,"49,450","-1,450","-2.8","845,683","42,653,162,850","51,600","51,700","49,450","6,598,894,068,250","0.35","133,445,785",,,
47,161390,한국타이어,"52,500","-1,500","-2.8","261,657","13,767,036,200","53,400","54,000","52,200","6,503,441,122,500","0.35","123,875,069",,,
48,021240,코웨이,"87,800","-4,500","-4.9","174,919","15,572,698,800","91,000","91,600","87,400","6,479,606,548,200","0.34","73,799,619",,,
